Mg	Al	Si	K	Ca	Ti	Fe
s1a	1.64	4.19	12.57	0.44	5.62	0.38	4
s1c	1.59	5.03	17.33	0.86	5.47	0.39	4.3
s3b	1.74	6	17.06	0.7	5.32	0.41	5.65
s3c	1.72	5.82	16.35	0.75	5.32	0.31	5.16
s4b	1.24	5.89	16.27	1.09	6.77	0.32	5.74
s4d	1.63	5.47	16.25	1.28	6.18	0.3	5.04
pt6a	2.26	4.63	13.99	0.5	7.28	0.33	4.6
pt6c	2.38	5.1	13.16	0.4	7.1	0.38	4.75
pt10b	1.41	6.74	17.83	0.6	7.06	0.44	4.2
pt10d	1.44	6.69	16.81	0.58	7.71	0.21	3.55
pt11c	1.5	6.78	17.09	0.56	6.53	0.33	4.1
pt11d	1.41	6.53	17.17	0.77	6.64	0.2	4.2
pt12c	1.25	5.76	14.16	0.97	6.02	0.14	4.56
pt12d	1.2	5.42	14.13	0.88	6.87	0.23	3.55
pt14b	0.79	4.44	11.76	0.73	7.21	0.38	3.6
pt14c	1.11	3.81	11.82	0.99	7.15	0.36	3.45
pp16c	1.78	6.22	16.54	0.75	8.94	0.44	5.45
pp16e	1.5	6.09	15.44	0.74	6.51	0.34	5.79
pp17c	1.26	7.39	18.23	0.82	6.81	0.07	4.42
pp17d	1.22	6.46	16.42	0.64	6.97	0.12	5.52
pp18a	1.28	6.02	14.55	0.53	7.32	0.14	5.44
pp18b	1.25	5.3	13.22	0.55	5.68	0.18	5.93
pp19b	1.26	6.02	14.98	0.88	6.55	0.29	6.76
pp19c	1.21	5.69	15.47	0.95	6.56	0.35	4.58
pp19d	1.67	7.57	18.14	1.43	6.63	0.16	4.55
fm20a	3.74	5.51	16.73	0.85	1.92	0.11	4.8
fm20b	3.92	5.78	16.94	0.99	1.34	0.15	5.26
fm21a	2.29	6.84	20.06	1.29	2.27	0.47	6.74
fm21b	2.34	7.94	21.29	1.6	1.85	0.47	4.12
fm23a	2.95	6.53	15.66	0.88	2.02	0.48	5.58
fm23b	3.84	5.94	15.92	0.78	2.08	0.48	6.47
fm25b	4.26	5.04	14.86	0.62	4.82	0.25	5.26
fm25c	3.67	5.65	16.99	0.78	3.89	0.23	5
fm26a	4.78	6.06	16.08	0.67	1.39	0.38	4.99
fm26b	3.97	6.32	15.51	0.57	1.39	0.4	5.1
fm28a	4.27	6.3	14.15	0.84	2.22	0.61	5.94
fm28b	4.23	6.77	21.61	1.26	1.62	0.84	5.84
a29b	1.73	8.15	18.37	0.63	2.22	0.72	6.92
a29c	1.84	8.2	19.77	0.7	2.55	0.47	7.83
a31d	1.39	7.33	18.54	0.64	2.04	0.25	7.11
a31e	1.66	7.57	17.39	0.35	2.07	0.49	6.83
a32c	1.32	6.7	17.3	0.87	1.76	0.42	6.87
a32d	1.44	7.5	17.46	0.73	2.2	0.52	6.74
a34b	1.33	6.51	18.5	0.61	2.08	0.47	6.49
a34c	1.36	6.5	18.55	0.56	2.14	0.42	6.76
ft35a	1.88	7.53	23.26	0.69	2.09	0.63	5.11
ft35b	1.14	7.26	20.29	0.72	1.55	0.13	4.71
ft36d	1.27	6.82	19.61	0.48	1.7	0.7	5.02
ft36e	1.49	6.95	19.48	0.63	1.45	0.47	4.72
ft37d	1.34	7.22	23.92	0.54	1.61	0.45	5.54
ft37e	1.2	6.62	21.35	0.45	1.61	0.47	4.71
e41d	1.25	5.88	14.79	0.85	2.84	0.26	3.56
e41f	1.2	5.54	13.75	0.8	3.08	0.3	3.71
e42c	1.03	6.01	12.01	0.59	5.35	0.19	3.72
e42d	1.71	5.92	14.14	0.6	5.27	0.13	3
e43d	1.53	6.8	18.09	1.67	2.23	0.32	3.93
e43e	1.31	6.43	19.17	1.32	2.21	0.32	3.98
r46b	6.91	4.08	15.42	1.09	0.76	0.34	8.42
r46d	7.84	4.47	17.55	1.17	7.98	0.18	8.42
r46e	7.24	4.04	18.34	1.29	7.65	0.44	8.62
ps47d	1.29	6.38	15.31	0.68	1.41	0.2	2.57
ps47e	1.32	6.19	15.3	0.54	1.28	0.28	2.42
ps48c	1.91	8	19.28	0.82	1.56	0.2	3.56
ps48d	1.63	6.86	18.45	1.08	1.36	0.44	3.6
ar49d	1.4	0.35	0.54	0.04	27.34	0	0.25
ar49e	0.63	0.32	0.54	0.07	29.52	0	0.3
v1	0	0.01	0	0.21	0	0	0
v2	0	0.012	0	0.19	0	0	0
v3	0.12	0.25	0	0.75	0	0	0
v4	0.14	0.27	0	0.77	0	0	0
v5	0	0.37	0	2.69	0	0	0
v6	0	0	0	1.41	0	0	0
v7	0	0	0	12.88	0	0	0
v8	0	0	0	1.03	0	0	0
v9	0	0.34	0	2.61	0	0	0
v10	0.49	0.53	0	0.23	0	0	0
v11	0.47	0.49	0	0.54	0	0	0
v12	0	0	0	3.35	0	0	0
v13	2.74	2.57	0	3.04	0	0	0
v14	2.44	2.01	0	0.65	0	0	0
v15	0.2	0.29	0	0	0	0	0
