Ca Mg P Fe Mn Na K Zn Cu
CAJU1 -0.1781 -0.1937 -0.2643 -0.2002 -0.1093 -0.1308 -0.1948 -0.2051 -0.0855
CAJU2 -0.1781 -0.1905 -0.2581 -0.1846 -0.1089 -0.1201 -0.1922 -0.1983 -0.0852
CAJU3 -0.1781 -0.1935 -0.2602 -0.2008 -0.1091 -0.1211 -0.1940 -0.1915 -0.0859
CAJU4 -0.1796 -0.2001 -0.2892 -0.1982 -0.1104 -0.1394 -0.1923 -0.2593 -0.0852
CAJU5 -0.1795 -0.1941 -0.2785 -0.1950 -0.1099 -0.1294 -0.1895 -0.2186 -0.0833
CAJU6 -0.1793 -0.1976 -0.2722 -0.1963 -0.1098 -0.1380 -0.1925 -0.2119 -0.0859
MARACUJA1 -0.1249 -0.1175 -0.0737 0.0048 -0.1056 -0.2518 0.0062 0.2680 -0.0738
MARACUJA2 -0.1246 -0.1154 -0.0590 0.0041 -0.1054 -0.2567 0.0079 0.3358 -0.0738
MARACUJA3 -0.1251 -0.1194 -0.0652 -0.0017 -0.1058 -0.2649 0.0043 0.2900 -0.0744
MARACUJA4 -0.1405 -0.1344 -0.0760 -0.0673 -0.1066 -0.3287 -0.0441 0.2561 -0.0702
MARACUJA5 -0.1408 -0.1360 -0.0789 -0.0709 -0.1066 -0.3286 -0.0437 0.2307 -0.0707
MARACUJA6 -0.1405 -0.1347 -0.0849 -0.0508 -0.1066 -0.3301 -0.0467 0.2375 -0.0711
GOIABA1 -0.0853 -0.1368 -0.0221 -0.1258 -0.0878 0.1296 0.1846 -0.0406 -0.0694
GOIABA2 -0.0890 -0.1369 -0.0402 -0.1323 -0.0878 0.1467 0.1920 -0.0644 -0.0681
GOIABA3 -0.0909 -0.1373 -0.0163 -0.1281 -0.0878 0.1623 0.1968 -0.0745 -0.0670
GOIABA4 -0.0872 -0.1307 0.0026 -0.1475 -0.0873 0.1238 0.1755 0.0153 -0.0658
GOIABA5 -0.0852 -0.1263 0.0114 -0.1498 -0.0867 0.1233 0.1771 -0.0067 -0.0658
GOIABA6 -0.0838 -0.1247 0.0114 -0.1518 -0.0867 0.1266 0.1783 -0.0067 -0.0658
MANGA1 0.0240 0.1491 0.1218 -0.0394 0.0448 0.0944 0.1969 0.0493 -0.0194
MANGA2 0.0267 0.1542 0.1245 -0.0283 0.0470 0.1027 0.2023 0.0611 -0.0181
MANGA3 0.0247 0.1485 0.1344 -0.0371 0.0454 0.1036 0.1996 0.0611 -0.0181
MANGA4 0.0083 0.1025 0.0944 0.0171 0.0925 0.0887 0.1751 0.0493 -0.0084
MANGA5 0.0138 0.1156 0.1125 0.0278 0.0998 0.1043 0.1897 0.1391 -0.0071
MANGA6 0.0105 0.1079 0.0994 0.0256 0.0953 0.1029 0.1795 0.1171 -0.0071
ABACAXI1 0.2129 0.2741 -0.0125 0.4176 0.3544 -0.0077 0.1538 -0.0270 -0.0630
ABACAXI2 0.2112 0.2704 -0.0193 0.3997 0.3523 -0.0087 0.1506 -0.0525 -0.0630
ABACAXI3 0.2125 0.2662 -0.0125 0.4208 0.3502 -0.0098 0.1474 -0.0440 -0.0630
ABACAXI4 0.2612 0.1563 -0.0929 0.1220 0.3321 -0.0130 0.0135 -0.0864 -0.0694
ABACAXI5 0.2607 0.1564 -0.0940 0.1253 0.3312 -0.0061 0.0138 -0.0779 -0.0685
ABACAXI6 0.2675 0.1603 -0.0957 0.1269 0.3363 -0.0071 0.0149 -0.0694 -0.0694
ACEROLA1 -0.0734 -0.0565 0.0218 -0.0079 -0.1124 -0.0533 -0.0246 -0.1542 -0.0713
ACEROLA2 -0.0731 -0.0547 0.0216 -0.0030 -0.1128 -0.0499 -0.0222 -0.1627 -0.0722
ACEROLA3 -0.0705 -0.0519 0.0327 0.0002 -0.1128 -0.0388 -0.0199 -0.1373 -0.0703
ACEROLA4 -0.0736 -0.0520 0.0333 -0.0225 -0.1115 0.1437 -0.0418 -0.1373 -0.0703
ACEROLA5 -0.0746 -0.0516 0.0357 -0.0144 -0.1115 0.1518 -0.0406 -0.1457 -0.0703
ACEROLA6 -0.0733 -0.0465 0.0369 -0.0144 -0.1115 0.1593 -0.0386 -0.1373 -0.0694
UVA1 0.2150 0.1633 0.2388 0.1123 0.0009 0.1321 -0.2064 0.0374 0.3801
UVA2 0.2112 0.1592 0.2531 0.1165 0.0004 0.1367 -0.2075 0.1171 0.3814
UVA3 0.2165 0.1631 0.2577 0.1100 0.0015 0.1413 -0.2069 0.0713 0.3863
UVA4 0.2098 0.1538 0.2669 0.1058 -0.0001 0.1407 -0.2216 0.1510 0.3581
UVA5 0.2231 0.1690 0.2851 0.1188 0.0037 0.1530 -0.2191 0.1391 0.3727
UVA6 0.2195 0.1629 0.2694 0.1123 0.0026 0.1664 -0.2207 0.0832 0.3667
