Celulose Hemicelulose Lignina Polifenois Cafeina Amino-Acidos
C1 9.500 4.900 3.530 29.03 4.440 3.820
C2 10.06 5.110 3.570 27.84 4.290 3.700
C3 10.79 5.460 4.620 26.53 3.910 3.460
C4 11.31 4.920 5.020 25.16 3.720 3.290
C5 11.50 6.080 5.480 23.28 3.500 3.100
C6 12.10 5.640 5.610 22.23 3.380 3.020
C7 13.30 5.680 6.320 21.10 3.140 2.870
H1 9.070 5.330 4.420 27.23 4.200 3.180
H2 10.75 5.800 5.290 25.99 4.000 3.000
H3 10.78 5.720 5.790 24.77 3.860 2.910
H4 12.00 6.680 7.200 24.05 3.490 2.810
H5 12.17 5.860 7.710 23.02 3.420 2.600
K1 10.32 10.66 5.070 21.55 4.230 4.430
K2 10.99 10.11 5.600 20.64 4.140 4.350
K3 12.32 10.12 6.530 20.06 4.020 4.120
K4 13.04 7.700 7.700 19.34 3.740 3.450
F1 10.95 7.840 5.220 26.68 5.030 5.320
F2 10.70 7.800 5.820 24.45 4.320 4.720
F3 10.81 8.430 6.000 23.74 4.110 4.500
F4 10.65 8.410 6.400 23.21 3.990 4.280
F5 11.24 8.130 7.610 22.68 3.810 4.090
F6 11.11 8.530 7.970 22.54 3.750 3.970
F7 11.83 9.780 8.670 22.16 3.590 3.880
T1 12.15 12.84 9.950 20.65 3.090 2.970
T2 12.13 12.35 10.55 20.61 2.970 2.490
T3 11.90 15.83 11.18 20.52 2.940 1.900
T4 11.92 15.58 11.87 20.42 2.830 1.790
S1 12.11 14.02 10.99 18.96 2.870 2.800
S2 12.74 14.23 11.16 18.64 2.720 2.230
S3 12.01 14.45 12.08 18.86 2.660 1.840
S4 11.85 14.42 12.60 18.84 2.640 1.760
